query,rolname,calls,mean_time,min_time,max_time,total_time,rows_read,cache_hit_rate,prop_total_time,index_advisor_result
"WITH pgrst_source AS ( SELECT row_to_json(""content_post_topics_post_1"".*)::jsonb AS ""post"" FROM ""public"".""content_post_topics"" INNER JOIN LATERAL ( SELECT ""content_post_1"".""id"", ""content_post_1"".""slug"", ""content_post_1"".""title"", ""content_post_1"".""description"", ""content_post_1"".""date_published"", ""content_post_1"".""date_created"", ""content_post_1"".""link"", ""content_post_1"".""image_path"", ""content_post_1"".""content"", ""content_post_1"".""indexed"", ""content_post_1"".""site_id"", ""content_post_1"".""status"", ""content_post_1"".""summary"", ""content_post_1"".""tags_list"", row_to_json(""content_post_site_2"".*)::jsonb AS ""site"", COALESCE( ""content_post_content_post_topics_2"".""content_post_content_post_topics_2"", $13) AS ""content_post_topics"" FROM ""public"".""content_post"" AS ""content_post_1"" LEFT JOIN LATERAL ( SELECT ""content_site_2"".""id"", ""content_site_2"".""title"", ""content_site_2"".""slug"", ""content_site_2"".""url"", ""content_site_2"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_2""  WHERE ""content_site_2"".""id"" = ""content_post_1"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_2"" ON $14 LEFT JOIN LATERAL ( SELECT json_agg(""content_post_content_post_topics_2"")::jsonb AS ""content_post_content_post_topics_2"" FROM (SELECT row_to_json(""content_post_topics_topic_3"".*)::jsonb AS ""topic"" FROM ""public"".""content_post_topics"" AS ""content_post_topics_2"" LEFT JOIN LATERAL ( SELECT ""content_topic_3"".""id"", ""content_topic_3"".""name"", ""content_topic_3"".""slug"" FROM ""public"".""content_topic"" AS ""content_topic_3""  WHERE ""content_topic_3"".""id"" = ""content_post_topics_2"".""topic_id""   LIMIT $3 OFFSET $4 ) AS ""content_post_topics_topic_3"" ON $15 WHERE ""content_post_topics_2"".""post_id"" = ""content_post_1"".""id""   LIMIT $5 OFFSET $6 ) AS ""content_post_content_post_topics_2"" ) AS ""content_post_content_post_topics_2"" ON $16 WHERE  ""content_post_1"".""status"" = $7 AND ""content_post_1"".""id"" = ""public"".""content_post_topics"".""post_id""   LIMIT $8 OFFSET $9 ) AS ""content_post_topics_post_1"" ON $17 WHERE  ""public"".""content_post_topics"".""topic_id"" = $10  ORDER BY ""content_post_topics_post_1"".""date_published"" DESC  LIMIT $11 OFFSET $12 )  SELECT $18::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $19) AS body, nullif(current_setting($20, $21), $22) AS response_headers, nullif(current_setting($23, $24), $25) AS response_status, $26 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,173660,206.670517048758,0.518796,2992.980896,35890401.990687,173660,99.9993217172749560,53.56480813632159,null
"WITH pgrst_source AS ( SELECT ""public"".""content_post"".*, row_to_json(""content_post_site_1"".*)::jsonb AS ""site"", COALESCE( ""content_post_content_post_topics_1"".""content_post_content_post_topics_1"", $11) AS ""content_post_topics"" FROM ""public"".""content_post"" LEFT JOIN LATERAL ( SELECT ""content_site_1"".""id"", ""content_site_1"".""title"", ""content_site_1"".""slug"", ""content_site_1"".""url"", ""content_site_1"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_1""  WHERE ""content_site_1"".""id"" = ""public"".""content_post"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_1"" ON $12 INNER JOIN LATERAL ( SELECT json_agg(""content_post_content_post_topics_1"")::jsonb AS ""content_post_content_post_topics_1"" FROM (SELECT row_to_json(""content_post_topics_topic_2"".*)::jsonb AS ""topic"" FROM ""public"".""content_post_topics"" AS ""content_post_topics_1"" LEFT JOIN LATERAL ( SELECT ""content_topic_2"".""id"", ""content_topic_2"".""name"", ""content_topic_2"".""slug"" FROM ""public"".""content_topic"" AS ""content_topic_2""  WHERE ""content_topic_2"".""id"" = ""content_post_topics_1"".""topic_id""   LIMIT $3 OFFSET $4 ) AS ""content_post_topics_topic_2"" ON $13 WHERE ""content_post_topics_1"".""post_id"" = ""public"".""content_post"".""id""   LIMIT $5 OFFSET $6 ) AS ""content_post_content_post_topics_1"" ) AS ""content_post_content_post_topics_1"" ON ""content_post_content_post_topics_1"" IS NOT NULL WHERE  ""public"".""content_post"".""status"" = $7  ORDER BY ""public"".""content_post"".""date_published"" DESC  LIMIT $8 OFFSET $9 ) , pgrst_source_count AS (SELECT $14 FROM ""public"".""content_post"" WHERE  ""public"".""content_post"".""status"" = $10 AND EXISTS (SELECT $15 FROM ""public"".""content_post_topics"" AS ""content_post_topics_1"" WHERE ""content_post_topics_1"".""post_id"" = ""public"".""content_post"".""id"" )) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $16) AS body, nullif(current_setting($17, $18), $19) AS response_headers, nullif(current_setting($20, $21), $22) AS response_status, $23 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,52007,181.880660965581,14.527563,1541.037165,9459067.53483686,52007,99.9999998993276997,14.117232172086524,null
"WITH pgrst_source AS ( SELECT ""public"".""content_post"".*, row_to_json(""content_post_site_1"".*)::jsonb AS ""site"" FROM ""public"".""content_post"" LEFT JOIN LATERAL ( SELECT ""content_site_1"".""title"", ""content_site_1"".""slug"", ""content_site_1"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_1""  WHERE ""content_site_1"".""id"" = ""public"".""content_post"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_1"" ON $8 WHERE  ""public"".""content_post"".""site_id"" = $3 AND  ""public"".""content_post"".""id"" <> $4 AND  ""public"".""content_post"".""status"" = $5  ORDER BY ""public"".""content_post"".""date_published"" DESC  LIMIT $6 OFFSET $7 )  SELECT $9::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $10) AS body, nullif(current_setting($11, $12), $13) AS response_headers, nullif(current_setting($14, $15), $16) AS response_status, $17 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,1007004,7.10529266593974,0.023154,656.335015,7155058.13577208,1007004,99.9999981042422105,10.678601937819144,null
"WITH pgrst_source AS ( SELECT ""public"".""content_post"".*, row_to_json(""content_post_site_1"".*)::jsonb AS ""site"", COALESCE( ""content_post_content_post_topics_1"".""content_post_content_post_topics_1"", $11) AS ""content_post_topics"" FROM ""public"".""content_post"" LEFT JOIN LATERAL ( SELECT ""content_site_1"".""id"", ""content_site_1"".""title"", ""content_site_1"".""slug"", ""content_site_1"".""url"", ""content_site_1"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_1""  WHERE ""content_site_1"".""id"" = ""public"".""content_post"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_1"" ON $12 INNER JOIN LATERAL ( SELECT json_agg(""content_post_content_post_topics_1"")::jsonb AS ""content_post_content_post_topics_1"" FROM (SELECT row_to_json(""content_post_topics_topic_2"".*)::jsonb AS ""topic"" FROM ""public"".""content_post_topics"" AS ""content_post_topics_1"" LEFT JOIN LATERAL ( SELECT ""content_topic_2"".""id"", ""content_topic_2"".""name"", ""content_topic_2"".""slug"" FROM ""public"".""content_topic"" AS ""content_topic_2""  WHERE ""content_topic_2"".""id"" = ""content_post_topics_1"".""topic_id""   LIMIT $3 OFFSET $4 ) AS ""content_post_topics_topic_2"" ON $13 WHERE ""content_post_topics_1"".""post_id"" = ""public"".""content_post"".""id""   LIMIT $5 OFFSET $6 ) AS ""content_post_content_post_topics_1"" ) AS ""content_post_content_post_topics_1"" ON ""content_post_content_post_topics_1"" IS NOT NULL WHERE  ""public"".""content_post"".""status"" = $7  ORDER BY ""public"".""content_post"".""date_published"" DESC  LIMIT $8 OFFSET $9 ) , pgrst_source_count AS (SELECT $14 FROM ""public"".""content_post"" WHERE  ""public"".""content_post"".""status"" = $10 AND EXISTS (SELECT $15 FROM ""public"".""content_post_topics"" AS ""content_post_topics_1"" WHERE ""content_post_topics_1"".""post_id"" = ""public"".""content_post"".""id"" )) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $16) AS body, nullif(current_setting($17, $18), $19) AS response_headers, nullif(current_setting($20, $21), $22) AS response_status, $23 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,15177,241.172975023457,27.183042,1254.237059,3660282.24193102,15177,99.9997238142323010,5.462806353205384,null
"WITH pgrst_source AS ( SELECT ""public"".""content_post"".*, row_to_json(""content_post_site_1"".*)::jsonb AS ""site"" FROM ""public"".""content_post"" LEFT JOIN LATERAL ( SELECT ""content_site_1"".""title"", ""content_site_1"".""slug"", ""content_site_1"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_1""  WHERE ""content_site_1"".""id"" = ""public"".""content_post"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_1"" ON $8 WHERE  ""public"".""content_post"".""site_id"" = $3 AND  ""public"".""content_post"".""id"" <> $4 AND  ""public"".""content_post"".""status"" = $5  ORDER BY ""public"".""content_post"".""date_published"" DESC  LIMIT $6 OFFSET $7 )  SELECT $9::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $10) AS body, nullif(current_setting($11, $12), $13) AS response_headers, nullif(current_setting($14, $15), $16) AS response_status, $17 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,211006,9.2973831250533,0.026838,951.732485,1961803.62368499,211006,99.9978947265673350,2.927903530617865,null
"WITH pgrst_source AS ( SELECT row_to_json(""content_post_topics_post_1"".*)::jsonb AS ""post"" FROM ""public"".""content_post_topics"" INNER JOIN LATERAL ( SELECT ""content_post_1"".""id"" FROM ""public"".""content_post"" AS ""content_post_1""  WHERE  ""content_post_1"".""status"" = $1 AND ""content_post_1"".""id"" = ""public"".""content_post_topics"".""post_id""   LIMIT $2 OFFSET $3 ) AS ""content_post_topics_post_1"" ON $9 WHERE  ""public"".""content_post_topics"".""topic_id"" = $4   LIMIT $5 OFFSET $6 ) , pgrst_source_count AS (SELECT $10 FROM ""public"".""content_post_topics"" WHERE  ""public"".""content_post_topics"".""topic_id"" = $7 AND EXISTS (SELECT $11 FROM ""public"".""content_post"" AS ""content_post_1"" WHERE  ""content_post_1"".""status"" = $8 AND ""content_post_1"".""id"" = ""public"".""content_post_topics"".""post_id"" )) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $12::text AS body, nullif(current_setting($13, $14), $15) AS response_headers, nullif(current_setting($16, $17), $18) AS response_status, $19 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,173796,10.238144228124,0.051298,872.213679,1779348.51427101,173796,99.9997042663713686,2.6555974992786955,null
"WITH pgrst_source AS ( SELECT ""public"".""content_post"".* FROM ""public"".""content_post""  WHERE  ""public"".""content_post"".""site_id"" = $1 AND  ""public"".""content_post"".""status"" = $2   LIMIT $3 OFFSET $4 ) , pgrst_source_count AS (SELECT $7 FROM ""public"".""content_post"" WHERE  ""public"".""content_post"".""site_id"" = $5 AND  ""public"".""content_post"".""status"" = $6) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $8::text AS body, nullif(current_setting($9, $10), $11) AS response_headers, nullif(current_setting($12, $13), $14) AS response_status, $15 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,22368,71.3079324259659,0.018544,2714.937797,1595015.83250399,22368,99.9999871292392344,2.3804892757857927,null
"WITH pgrst_source AS ( SELECT ""public"".""content_post"".*, row_to_json(""content_post_site_1"".*)::jsonb AS ""site"", COALESCE( ""content_post_content_post_topics_1"".""content_post_content_post_topics_1"", $11) AS ""content_post_topics"" FROM ""public"".""content_post"" LEFT JOIN LATERAL ( SELECT ""content_site_1"".""title"", ""content_site_1"".""slug"", ""content_site_1"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_1""  WHERE ""content_site_1"".""id"" = ""public"".""content_post"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_1"" ON $12 LEFT JOIN LATERAL ( SELECT json_agg(""content_post_content_post_topics_1"")::jsonb AS ""content_post_content_post_topics_1"" FROM (SELECT row_to_json(""content_post_topics_topic_2"".*)::jsonb AS ""topic"" FROM ""public"".""content_post_topics"" AS ""content_post_topics_1"" LEFT JOIN LATERAL ( SELECT ""content_topic_2"".""id"", ""content_topic_2"".""name"", ""content_topic_2"".""slug"" FROM ""public"".""content_topic"" AS ""content_topic_2""  WHERE ""content_topic_2"".""id"" = ""content_post_topics_1"".""topic_id""   LIMIT $3 OFFSET $4 ) AS ""content_post_topics_topic_2"" ON $13 WHERE ""content_post_topics_1"".""post_id"" = ""public"".""content_post"".""id""   LIMIT $5 OFFSET $6 ) AS ""content_post_content_post_topics_1"" ) AS ""content_post_content_post_topics_1"" ON $14 WHERE  ""public"".""content_post"".""slug"" = $7 AND  ""public"".""content_post"".""status"" = $8   LIMIT $9 OFFSET $10 )  SELECT $15::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t)->$16, $17) AS body, nullif(current_setting($18, $19), $20) AS response_headers, nullif(current_setting($21, $22), $23) AS response_status, $24 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,1007794,1.19926968342931,0.026626,115.403236,1208616.79134202,1007794,99.9999495270836185,1.803806113828727,null
"WITH pgrst_source AS ( SELECT ""public"".""content_post"".*, row_to_json(""content_post_site_1"".*)::jsonb AS ""site"" FROM ""public"".""content_post"" LEFT JOIN LATERAL ( SELECT ""content_site_1"".""id"", ""content_site_1"".""title"", ""content_site_1"".""slug"", ""content_site_1"".""url"", ""content_site_1"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_1""  WHERE ""content_site_1"".""id"" = ""public"".""content_post"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_1"" ON $7 WHERE  ""public"".""content_post"".""status"" = $3  ORDER BY ""public"".""content_post"".""date_published"" DESC  LIMIT $4 OFFSET $5 ) , pgrst_source_count AS (SELECT $8 FROM ""public"".""content_post"" WHERE  ""public"".""content_post"".""status"" = $6) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $9) AS body, nullif(current_setting($10, $11), $12) AS response_headers, nullif(current_setting($13, $14), $15) AS response_status, $16 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,43582,27.542589831513,2.422144,359.104753,1200361.15003699,43582,100.0000000000000000,1.7914849410912086,null
"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)",anon,4091173,0.223736804677557,0.016164,66.000127,915345.974402537,4091173,99.9999296690765948,1.3661126311694372,null
"WITH pgrst_source AS ( SELECT ""public"".""documents"".* FROM ""public"".""documents""  WHERE  ""public"".""documents"".""metadata""->$1 = $2   LIMIT $3 OFFSET $4 ) , pgrst_source_count AS (SELECT $7 FROM ""public"".""documents"" WHERE  ""public"".""documents"".""metadata""->$5 = $6) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $8::text AS body, nullif(current_setting($9, $10), $11) AS response_headers, nullif(current_setting($12, $13), $14) AS response_status, $15 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",authenticated,20492,27.5041783887371,0.016647,6088.232761,563615.623541998,20492,99.9974956429278635,0.8411709276896426,null
"WITH pgrst_source AS ( SELECT ""public"".""content_post"".""id"", ""public"".""content_post"".""title"", ""public"".""content_post"".""description"", ""public"".""content_post"".""date_published"", ""public"".""content_post"".""date_created"", ""public"".""content_post"".""link"", ""public"".""content_post"".""image_path"", ""public"".""content_post"".""content"", ""public"".""content_post"".""slug"", row_to_json(""content_post_site_1"".*)::jsonb AS ""site"", COALESCE( ""content_post_content_post_topics_1"".""content_post_content_post_topics_1"", $11) AS ""content_post_topics"" FROM ""public"".""content_post"" LEFT JOIN LATERAL ( SELECT ""content_site_1"".""title"", ""content_site_1"".""slug"", ""content_site_1"".""url"", ""content_site_1"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_1""  WHERE ""content_site_1"".""id"" = ""public"".""content_post"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_1"" ON $12 LEFT JOIN LATERAL ( SELECT json_agg(""content_post_content_post_topics_1"")::jsonb AS ""content_post_content_post_topics_1"" FROM (SELECT row_to_json(""content_post_topics_topic_2"".*)::jsonb AS ""topic"" FROM ""public"".""content_post_topics"" AS ""content_post_topics_1"" LEFT JOIN LATERAL ( SELECT ""content_topic_2"".""id"", ""content_topic_2"".""name"", ""content_topic_2"".""slug"" FROM ""public"".""content_topic"" AS ""content_topic_2""  WHERE ""content_topic_2"".""id"" = ""content_post_topics_1"".""topic_id""   LIMIT $3 OFFSET $4 ) AS ""content_post_topics_topic_2"" ON $13 WHERE ""content_post_topics_1"".""post_id"" = ""public"".""content_post"".""id""   LIMIT $5 OFFSET $6 ) AS ""content_post_content_post_topics_1"" ) AS ""content_post_content_post_topics_1"" ON $14 WHERE  ""public"".""content_post"".""site_id"" = $7 AND  ""public"".""content_post"".""status"" = $8  ORDER BY ""public"".""content_post"".""date_published"" DESC  LIMIT $9 OFFSET $10 )  SELECT $15::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $16) AS body, nullif(current_setting($17, $18), $19) AS response_headers, nullif(current_setting($20, $21), $22) AS response_status, $23 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,25349,18.162854780307,0.02048,722.072611,460410.205825999,25349,100.0000000000000000,0.6871414910725523,null
"WITH pgrst_source AS ( SELECT ""public"".""content_post"".*, row_to_json(""content_post_site_1"".*)::jsonb AS ""site"" FROM ""public"".""content_post"" LEFT JOIN LATERAL ( SELECT ""content_site_1"".""id"", ""content_site_1"".""title"", ""content_site_1"".""slug"", ""content_site_1"".""url"", ""content_site_1"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_1""  WHERE ""content_site_1"".""id"" = ""public"".""content_post"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_1"" ON $7 WHERE  ""public"".""content_post"".""status"" = $3  ORDER BY ""public"".""content_post"".""date_published"" DESC  LIMIT $4 OFFSET $5 ) , pgrst_source_count AS (SELECT $8 FROM ""public"".""content_post"" WHERE  ""public"".""content_post"".""status"" = $6) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $9) AS body, nullif(current_setting($10, $11), $12) AS response_headers, nullif(current_setting($13, $14), $15) AS response_status, $16 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,10967,33.8891252492932,30.08599,1332.839411,371662.036608998,10967,99.9823442502515981,0.5546888465523826,null
"WITH pgrst_source AS ( SELECT row_to_json(""content_post_topics_post_1"".*)::jsonb AS ""post"" FROM ""public"".""content_post_topics"" INNER JOIN LATERAL ( SELECT ""content_post_1"".""id"", ""content_post_1"".""title"", ""content_post_1"".""description"", ""content_post_1"".""date_published"", ""content_post_1"".""date_created"", ""content_post_1"".""link"", ""content_post_1"".""image_path"", ""content_post_1"".""content"", ""content_post_1"".""indexed"", ""content_post_1"".""site_id"", ""content_post_1"".""status"", ""content_post_1"".""summary"", ""content_post_1"".""tags_list"", ""content_post_1"".""user_id"", ""content_post_1"".""slug"", row_to_json(""content_post_site_2"".*)::jsonb AS ""site"" FROM ""public"".""content_post"" AS ""content_post_1"" LEFT JOIN LATERAL ( SELECT ""content_site_2"".""title"", ""content_site_2"".""slug"", ""content_site_2"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_2""  WHERE ""content_site_2"".""id"" = ""content_post_1"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_2"" ON $9 WHERE  ""content_post_1"".""status"" = $3 AND ""content_post_1"".""id"" = ""public"".""content_post_topics"".""post_id""   LIMIT $4 OFFSET $5 ) AS ""content_post_topics_post_1"" ON $10 WHERE  ""public"".""content_post_topics"".""topic_id"" = ANY ($6)   ORDER BY ""content_post_topics_post_1"".""date_published"" DESC  LIMIT $7 OFFSET $8 )  SELECT $11::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $12) AS body, nullif(current_setting($13, $14), $15) AS response_headers, nullif(current_setting($16, $17), $18) AS response_status, $19 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",authenticated,272,696.64607238603,34.684689,4406.328938,189487.731689,272,99.9534609715939294,0.2828019032704566,null
"WITH pgrst_source AS ( SELECT ""public"".""content_post"".*, row_to_json(""content_post_site_1"".*)::jsonb AS ""site"", COALESCE( ""content_post_content_post_topics_1"".""content_post_content_post_topics_1"", $11) AS ""content_post_topics"" FROM ""public"".""content_post"" LEFT JOIN LATERAL ( SELECT ""content_site_1"".""title"", ""content_site_1"".""slug"", ""content_site_1"".""site_icon"" FROM ""public"".""content_site"" AS ""content_site_1""  WHERE ""content_site_1"".""id"" = ""public"".""content_post"".""site_id""   LIMIT $1 OFFSET $2 ) AS ""content_post_site_1"" ON $12 LEFT JOIN LATERAL ( SELECT json_agg(""content_post_content_post_topics_1"")::jsonb AS ""content_post_content_post_topics_1"" FROM (SELECT row_to_json(""content_post_topics_topic_2"".*)::jsonb AS ""topic"" FROM ""public"".""content_post_topics"" AS ""content_post_topics_1"" LEFT JOIN LATERAL ( SELECT ""content_topic_2"".""id"", ""content_topic_2"".""name"", ""content_topic_2"".""slug"" FROM ""public"".""content_topic"" AS ""content_topic_2""  WHERE ""content_topic_2"".""id"" = ""content_post_topics_1"".""topic_id""   LIMIT $3 OFFSET $4 ) AS ""content_post_topics_topic_2"" ON $13 WHERE ""content_post_topics_1"".""post_id"" = ""public"".""content_post"".""id""   LIMIT $5 OFFSET $6 ) AS ""content_post_content_post_topics_1"" ) AS ""content_post_content_post_topics_1"" ON $14 WHERE  ""public"".""content_post"".""slug"" = $7 AND  ""public"".""content_post"".""status"" = $8   LIMIT $9 OFFSET $10 )  SELECT $15::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t)->$16, $17) AS body, nullif(current_setting($18, $19), $20) AS response_headers, nullif(current_setting($21, $22), $23) AS response_status, $24 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,211474,0.613469197835197,0.030063,62.841784,129732.785142999,211474,99.9843768526332675,0.19362033746455554,null
"WITH pgrst_source AS ( SELECT ""public"".""newsletter_posts"".* FROM ""public"".""newsletter_posts""  WHERE  ""public"".""newsletter_posts"".""status"" = $1  ORDER BY ""public"".""newsletter_posts"".""publish_date"" DESC  LIMIT $2 OFFSET $3 ) , pgrst_source_count AS (SELECT $5 FROM ""public"".""newsletter_posts"" WHERE  ""public"".""newsletter_posts"".""status"" = $4) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,6249,20.4374833144502,4.036015,289.341542,127713.833232,6249,99.9950626564819357,0.19060714268960754,null
"WITH pgrst_source AS ( SELECT ""public"".""content_tool"".*, COALESCE( ""content_tool_content_tool_topics_1"".""content_tool_content_tool_topics_1"", $10) AS ""content_tool_topics"" FROM ""public"".""content_tool"" INNER JOIN LATERAL ( SELECT json_agg(""content_tool_content_tool_topics_1"")::jsonb AS ""content_tool_content_tool_topics_1"" FROM (SELECT row_to_json(""content_tool_topics_topic_2"".*)::jsonb AS ""topic"" FROM ""public"".""content_tool_topics"" AS ""content_tool_topics_1"" LEFT JOIN LATERAL ( SELECT ""content_topic_2"".""id"", ""content_topic_2"".""name"", ""content_topic_2"".""slug"" FROM ""public"".""content_topic"" AS ""content_topic_2""  WHERE ""content_topic_2"".""id"" = ""content_tool_topics_1"".""topic_id""   LIMIT $1 OFFSET $2 ) AS ""content_tool_topics_topic_2"" ON $11 WHERE  ""content_tool_topics_1"".""topic_id"" = ANY ($3)  AND ""content_tool_topics_1"".""tool_id"" = ""public"".""content_tool"".""id""   LIMIT $4 OFFSET $5 ) AS ""content_tool_content_tool_topics_1"" ) AS ""content_tool_content_tool_topics_1"" ON ""content_tool_content_tool_topics_1"" IS NOT NULL WHERE  ""public"".""content_tool"".""id"" <> $6 AND  ""public"".""content_tool"".""status"" = $7  ORDER BY ""public"".""content_tool"".""date"" DESC  LIMIT $8 OFFSET $9 )  SELECT $12::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $13) AS body, nullif(current_setting($14, $15), $16) AS response_headers, nullif(current_setting($17, $18), $19) AS response_status, $20 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",anon,105289,0.931897164119705,0.353776,20.08443,98118.5205129996,105289,99.9999426033213266,0.146437471702388,null
"COPY public.content_post (id, title, description, summary, date_created, date_published, link, image_path, site_id, content, status, tags_list, indexed, slug, user_id) TO stdout",postgres,3,27064.8431233333,2394.361302,39554.878095,81194.52937,16761,99.9669523907879789,0.12117917733413851,null
"COPY public.documents (id, content, metadata, embedding) TO stdout",postgres,2,39288.296308,32376.789486,46199.80313,78576.592616,72678,74.8287057357193354,0.11727202466481422,null
"WITH pgrst_source AS (INSERT INTO ""public"".""documents""(""content"", ""embedding"", ""metadata"") SELECT ""pgrst_body"".""content"", ""pgrst_body"".""embedding"", ""pgrst_body"".""metadata"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""content"", ""embedding"", ""metadata"" FROM json_to_record(pgrst_payload.json_data) AS _(""content"" text, ""embedding"" public.vector(1536), ""metadata"" jsonb) ) pgrst_body  RETURNING $2) SELECT $3 AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, array[]::text[] AS header, $4::text AS body, nullif(current_setting($5, $6), $7) AS response_headers, nullif(current_setting($8, $9), $10) AS response_status, $11 AS response_inserted FROM (SELECT * FROM pgrst_source) _postgrest_t",authenticated,71906,1.08313375405391,0.388886,31.632588,77883.8157189998,71906,99.9978723361815216,0.11623808635510342,null