title,description,url,confidence_match
"10Web","AI website builder that generates site structure, copy, and layouts from prompts for fast launch workflows.","https://10web.io/","yes"
"AB Tasty","Experimentation platform with AI-assisted personalization and optimization that can support UX iteration workflows.","https://www.abtasty.com/","no"
"Adalo","No-code app builder with AI-assisted app generation features for quickly scaffolding product interfaces.","https://www.adalo.com/","no"
"Adobe Express","Design tool with generative AI features for creating marketing and UI-adjacent visuals quickly.","https://www.adobe.com/express/","no"
"Adobe Firefly","Generative AI creative suite used to create and edit visual assets used in digital product and UX design workflows.","https://firefly.adobe.com/","no"
"Airtable","Collaborative database platform with AI features used by product teams to synthesize UX inputs and generate workflow artifacts.","https://www.airtable.com/","no"
"Amplitude","Product analytics platform with AI features for insight discovery and UX optimization recommendations.","https://amplitude.com/","yes"
"Anima","Design-to-code platform that uses AI to turn design files into interactive, production-ready frontend code.","https://www.animaapp.com/","yes"
"Appy Pie","No-code builder with AI website and app generation tools for quickly creating digital experiences.","https://www.appypie.com/","no"
"Attention Insight","AI-powered visual attention prediction tool that helps teams evaluate interface focus before user testing.","https://attentioninsight.com/","yes"
"B12","AI-assisted website builder that combines generated design and content with editing tools for business sites.","https://www.b12.io/","yes"
"Base44","AI app builder focused on prompt-based product creation with integrated full-stack generation capabilities.","https://base44.com/","no"
"Bolt.new","Browser-based AI app builder that generates and iterates full-stack applications from natural language prompts.","https://bolt.new/","yes"
"Bookmark","Website builder with AI-driven setup flows that generate initial site structure and content.","https://www.bookmark.com/","no"
"Bubble","No-code app platform with AI-assisted building workflows to speed product UI and feature creation.","https://bubble.io/","yes"
"Builder.io","Visual development platform with AI capabilities for generating and refining UI components and page structures.","https://www.builder.io/","yes"
"Canva","Design platform with generative AI tools for producing visual assets, layouts, and branded content in product workflows.","https://www.canva.com/","yes"
"Coda","Collaborative docs platform with AI assistance used by product teams for UX planning, synthesis, and spec drafting.","https://coda.io/","no"
"Condens","UX research repository that uses AI to help analyze interviews, tag findings, and surface insights.","https://condens.io/","yes"
"Contentsquare","Digital experience analytics platform with AI-powered insights for identifying UX friction and optimization opportunities.","https://contentsquare.com/","yes"
"Create","AI-powered app builder that generates and edits product interfaces and logic from natural language prompts.","https://create.xyz/","yes"
"Cursor","AI code editor used in design-to-build workflows to implement and iterate product UI quickly from prompts.","https://cursor.com/","no"
"Databutton","AI app builder that turns product ideas into deployable web apps with generated frontend and backend code.","https://databutton.com/","yes"
"Designs.ai","AI design suite that generates logos, graphics, and brand assets that support early-stage UX and product design.","https://designs.ai/","no"
"Dora AI","AI website generation tool for creating animated and interactive web experiences from prompts.","https://www.dora.run/","yes"
"Dorik","Website builder with AI generation features for producing layouts and copy from short prompts.","https://dorik.com/","yes"
"Dovetail","AI-enabled research and insights platform for summarizing user interviews and synthesizing UX evidence.","https://dovetail.com/","yes"
"Draftbit","Visual app builder with AI-assisted code workflows for creating and shipping mobile interfaces faster.","https://draftbit.com/","no"
"Durable","AI website builder that creates complete business websites and editable content in minutes.","https://durable.co/","yes"
"FigJam","Collaborative whiteboarding tool with AI features for brainstorming, clustering, and summarizing design inputs.","https://www.figma.com/figjam/","yes"
"Figma","Product design platform with AI features for ideation, content generation, and design-to-build acceleration.","https://www.figma.com/","yes"
"Firebase Studio","AI-assisted app development environment for generating and iterating full-stack product experiences.","https://firebase.studio/","no"
"FlutterFlow","Visual app builder with AI generation features for quickly creating and refining app UI and logic.","https://flutterflow.io/","yes"
"Framer","Website design platform with AI generation and copy tools for rapidly producing polished web experiences.","https://www.framer.com/","yes"
"Fronty","AI tool that converts image-based mockups into HTML and CSS for faster interface implementation.","https://fronty.com/","yes"
"FullStory","Digital experience platform with AI assistance for session analysis and UX issue discovery.","https://www.fullstory.com/","yes"
"Galileo AI","AI interface generation tool that creates editable UI screens and flows from text prompts.","https://www.usegalileo.ai/","yes"
"Gamma","AI-first content and page creation tool used to generate product narratives and web-style layouts quickly.","https://gamma.app/","no"
"GitHub Copilot","AI coding assistant used by product teams to accelerate UI implementation and iterative design changes.","https://github.com/features/copilot","no"
"Glide","AI-assisted no-code app builder for generating and refining internal and customer-facing interfaces.","https://www.glideapps.com/","yes"
"Google Stitch","Google AI interface generation tool for turning prompts into UI concepts and editable design outputs.","https://stitch.withgoogle.com/","no"
"Heap","Product analytics platform with AI capabilities that help identify patterns and UX opportunities.","https://heap.io/","no"
"HeyBoss","AI business and website builder focused on launching customer-facing digital products from prompts.","https://heyboss.ai/","no"
"Hocoos","AI website builder that creates business site drafts with generated sections and content.","https://hocoos.com/","yes"
"Hostinger Horizons","AI app builder from Hostinger designed for prompt-based website and app creation.","https://horizons.hostinger.com/","no"
"Hostinger Website Builder","Website builder with AI tools for generating pages, content, and branding assets quickly.","https://www.hostinger.com/ai-website-builder","yes"
"Hotjar","Behavior analytics tool with AI-assisted summaries and insights for UX research and optimization.","https://www.hotjar.com/","yes"
"Jimdo","Website builder with AI-driven onboarding and setup for generating tailored site drafts.","https://www.jimdo.com/","yes"
"Khroma","AI color tool that learns preferences to generate palette suggestions for interface and brand design.","https://khroma.co/","yes"
"Kombai","AI design-to-code tool that converts Figma designs into frontend code and reusable components.","https://kombai.com/","yes"
"Landingsite.ai","AI landing page generator for rapidly creating marketing and product entry pages from prompts.","https://landingsite.ai/","no"
"Locofy.ai","AI-assisted design-to-code platform that converts design files into developer-ready frontend code.","https://www.locofy.ai/","yes"
"Looppanel","AI UX research assistant for transcribing, summarizing, and organizing user interview insights.","https://www.looppanel.com/","yes"
"Lovable","AI full-stack product builder that turns prompts into editable web apps with iterative UX refinement.","https://lovable.dev/","yes"
"Lucidchart","Visual collaboration platform with AI features for diagramming flows, systems, and UX journeys.","https://www.lucidchart.com/","yes"
"Lyssna","User research platform with AI support for analyzing test responses and prioritizing UX findings.","https://www.lyssna.com/","no"
"Magic Patterns","AI UI generation tool for creating and iterating interface components and screen concepts from prompts.","https://www.magicpatterns.com/","yes"
"Maze","UX research and testing platform with AI-assisted analysis for faster insight extraction.","https://maze.co/","yes"
"Microsoft Designer","AI design tool for generating visual concepts and assets used in product and UX communications.","https://designer.microsoft.com/","no"
"Midjourney","Generative image model often used to create visual directions and concept imagery for product design exploration.","https://www.midjourney.com/","no"
"Miro","Collaboration platform with AI features for ideation, clustering, summarization, and workflow acceleration in design teams.","https://miro.com/","yes"
"Mixpanel","Product analytics platform with AI-assisted querying and analysis to improve UX decisions.","https://mixpanel.com/","yes"
"Mobirise AI","AI website builder that generates editable sites and content directly from prompts.","https://ai.mobirise.com/","yes"
"MockFlow","Wireframing and product planning suite with AI support for generating UI structures and documentation.","https://mockflow.com/","yes"
"Mockplus","UI prototyping tool with AI features to accelerate wireframe and interface creation.","https://www.mockplus.com/","yes"
"Motiff","AI-native interface design platform focused on generating and refining modern product UI.","https://motiff.com/","yes"
"Notion AI","AI workspace assistant used by product and design teams for synthesis, briefs, and UX documentation.","https://www.notion.com/product/ai","no"
"Octopus.do","Sitemap and information architecture tool with AI assistance for website structure planning.","https://octopus.do/","no"
"Optimizely","Experimentation platform with AI-powered optimization features for digital experience improvement.","https://www.optimizely.com/","no"
"Pendo","Product experience platform with AI capabilities for guidance, analytics, and UX improvement workflows.","https://www.pendo.io/","no"
"Penpot","Open-source design platform with emerging AI-assisted workflows for product interface creation.","https://penpot.app/","no"
"Piktochart","Design tool with AI generation features for creating visuals and communication assets used in UX contexts.","https://piktochart.com/","no"
"Plasmic","Visual builder with AI-assisted generation and editing for rapidly shipping product interfaces.","https://www.plasmic.app/","yes"
"Prototypr AI Studio","AI wireframing and prototyping tool for generating and refining UI ideas from text prompts.","https://www.prototypr.ai","yes"
"Qualtrics","Experience management platform with AI analytics used for UX research synthesis and prioritization.","https://www.qualtrics.com/","no"
"Relume","AI website and component builder for generating sitemaps, wireframes, and UI copy from prompts.","https://www.relume.io/","yes"
"Replit","AI coding and app-building platform used to prototype and ship product experiences from conversational prompts.","https://replit.com/","yes"
"Rork","AI app builder focused on generating production-ready mobile and web experiences from prompts.","https://rork.com/","no"
"Sitekick","AI landing page builder that generates conversion-focused layouts and copy without manual design work.","https://www.sitekick.ai/","yes"
"Siter","Website design tool with AI website generation for quickly producing editable layouts.","https://siter.io/","yes"
"Softr","No-code platform with AI support for generating app pages and content on top of structured data.","https://www.softr.io/","yes"
"Sprig","AI-powered product research platform that helps teams collect, analyze, and act on UX feedback.","https://sprig.com/","yes"
"Squarespace","Website platform with AI design and content assistance for faster site creation and iteration.","https://www.squarespace.com/","yes"
"SurveyMonkey","Survey platform with AI-assisted analysis and question generation used in UX research loops.","https://www.surveymonkey.com/","no"
"Tabnine","AI coding assistant that can accelerate frontend implementation tasks in design-to-build workflows.","https://www.tabnine.com/","no"
"TeleportHQ","Front-end design and development platform with AI assistance for generating websites and UI code.","https://teleporthq.io/","yes"
"Tempo","AI-assisted design-to-code workflow platform focused on building React interfaces from product intent.","https://www.tempo.new/","no"
"Typeform","Form and survey platform with AI features for creation and response analysis in UX research.","https://www.typeform.com/","no"
"Uizard","AI UI design platform for turning text, sketches, and screenshots into wireframes and prototypes.","https://uizard.io/","yes"
"Unicorn Platform","AI-assisted website builder for startups to create landing pages and product sites quickly.","https://unicornplatform.com/","yes"
"Useberry","UX testing platform with AI-supported analytics and insight extraction from test sessions.","https://www.useberry.com/","yes"
"UserTesting","User research platform with AI-powered analysis, summaries, and insights for UX decisions.","https://www.usertesting.com/","yes"
"UXPin","Design and prototyping platform with AI-driven design-to-code and component workflow acceleration.","https://www.uxpin.com/","yes"
"v0","AI interface and app generation tool from Vercel for prompt-to-React design and build workflows.","https://v0.dev/","yes"
"Venngage","Design platform with AI-assisted template and content generation for visual communication tasks.","https://venngage.com/","no"
"Visily","AI wireframing and prototyping tool for creating editable UI screens and flows quickly.","https://www.visily.ai/","yes"
"VisualEyes","AI predictive UX testing platform that estimates user attention and supports design validation.","https://visualeyes.io/","yes"
"VWO","Experimentation and optimization platform with AI features for digital experience improvement.","https://vwo.com/","no"
"Webflow","Website experience platform with AI-assisted design and content workflows for modern web production.","https://webflow.com/","yes"
"Weblium","AI website builder that generates customizable website drafts for rapid launch.","https://weblium.com/","yes"
"WeWeb","Visual web app builder with AI-assisted creation to speed interface and workflow development.","https://www.weweb.io/","yes"
"Whimsical","Visual collaboration tool with AI support for brainstorming, flow creation, and design thinking outputs.","https://whimsical.com/","yes"
"Windsurf","AI coding environment used by teams to implement and iterate UI-heavy product experiences.","https://windsurf.com/","no"
"Wix","Website platform with AI-driven design and content generation for rapid site creation.","https://www.wix.com/","yes"
"Wix Studio","Advanced web creation platform with AI tooling for responsive site generation and editing.","https://www.wix.com/studio","yes"
"WordPress.com AI Website Builder","AI website builder that generates complete WordPress sites from conversational prompts.","https://wordpress.com/ai-website-builder/","yes"
"Zeplin","Design handoff platform with AI features to improve documentation and developer collaboration.","https://zeplin.io/","no"
"zeroheight","Design system documentation platform with AI-assisted writing and curation workflows.","https://zeroheight.com/","no"
